hh_id               itime                                     day
10382          75, 10, 10                  19(4), 99(20), 179(36)
10383         250, 10, 10                 25(5), 105(21), 185(37)
10384         375, 10, 10                 24(5), 104(21), 184(37)
10385         525, 10, 10                 23(5), 103(21), 183(37)
10386         150, 10, 10                  18(4), 98(20), 178(36)
10387         850, 10, 10                 22(5), 102(21), 182(37)
10388         325, 10, 10                 21(5), 101(21), 181(37)
10389         100, 10, 10                  17(4), 97(20), 177(36)
10390         200, 10, 10                  16(4), 96(20), 176(36)
10391         125, 10, 10                 20(4), 100(20), 180(36)
10392         175, 10, 10                  19(4), 99(20), 179(36)
10393         200, 10, 10                  18(4), 98(20), 178(36)
10394         175, 10, 10                  17(4), 97(20), 177(36)
10395         150, 10, 10                  16(4), 96(20), 176(36)
10396         175, 10, 10                 28(6), 108(22), 188(38)
10397          75, 10, 10                 27(6), 107(22), 187(38)
10398         125, 10, 10                 26(6), 106(22), 186(38)
10399         175, 10, 10                 30(6), 110(22), 190(38)
10400         225, 10, 10                 29(6), 109(22), 189(38)
10401          25, 10, 10                   6(2), 86(18), 166(34)
10402         350, 10, 10                 28(6), 108(22), 188(38)
10403         200, 10, 10                 27(6), 107(22), 187(38)
10404          75, 10, 10                 23(5), 103(21), 183(37)
10405         300, 10, 10                 26(6), 106(22), 186(38)
10406         150, 10, 10                 30(6), 110(22), 190(38)
10407         375, 10, 10                 29(6), 109(22), 189(38)
10408         225, 10, 10                 28(6), 108(22), 188(38)
10409         300, 10, 10                 27(6), 107(22), 187(38)
10410         150, 10, 10                 26(6), 106(22), 186(38)
10411         200, 10, 10                 30(6), 110(22), 190(38)
10412         150, 10, 10                 29(6), 109(22), 189(38)
10413         225, 10, 10                 28(6), 108(22), 188(38)
10414         10, 10, 250                46(10), 126(26), 206(42)
10415         10, 10, 225                50(10), 130(26), 210(42)
10416         10, 10, 175                49(10), 129(26), 209(42)
10417         10, 10, 200                48(10), 128(26), 208(42)
10418         10, 10, 125                47(10), 127(26), 207(42)
10419         10, 10, 250                46(10), 126(26), 206(42)
10420         10, 10, 250                50(10), 130(26), 210(42)
10421         10, 10, 125                49(10), 129(26), 209(42)
10422         10, 10, 250                48(10), 128(26), 208(42)
10423         10, 10, 300                47(10), 127(26), 207(42)
10424         10, 10, 100                46(10), 126(26), 206(42)
10425         10, 10, 300                50(10), 130(26), 210(42)
10426         10, 10, 100                49(10), 129(26), 209(42)
10427         10, 10, 225                48(10), 128(26), 208(42)
10428         10, 10, 250                47(10), 127(26), 207(42)
10429         10, 10, 175                46(10), 126(26), 206(42)
10430         10, 10, 175                50(10), 130(26), 210(42)
10431         10, 10, 125                49(10), 129(26), 209(42)
10432         10, 10, 125                 43(9), 123(25), 203(41)
10433         10, 10, 300                48(10), 128(26), 208(42)
10434         10, 10, 450                 42(9), 122(25), 202(41)
10435         10, 10, 175                 41(9), 121(25), 201(41)
10436         10, 10, 150                 45(9), 125(25), 205(41)
10437          10, 10, 25                 36(8), 116(24), 196(40)
10438          10, 10, 50                 40(8), 120(24), 200(40)
10439         10, 10, 100                 44(9), 124(25), 204(41)
10440         10, 10, 225                 43(9), 123(25), 203(41)
10441         10, 10, 150                 42(9), 122(25), 202(41)
10442         10, 10, 375                 41(9), 121(25), 201(41)
10443         10, 375, 10                58(12), 138(28), 218(44)
10444         10, 100, 10                57(12), 137(28), 217(44)
10445         10, 100, 10                56(12), 136(28), 216(44)
10446         10, 150, 10                60(12), 140(28), 220(44)
10447         10, 150, 10                47(10), 127(26), 207(42)
10448         200, 10, 10                 20(4), 100(20), 180(36)
10449         225, 10, 10                  19(4), 99(20), 179(36)
10450         100, 10, 10                  18(4), 98(20), 178(36)
10451         125, 10, 10                  14(3), 94(19), 174(35)
10452         225, 10, 10                  17(4), 97(20), 177(36)
10453         300, 10, 10                  16(4), 96(20), 176(36)
10454         300, 10, 10                 20(4), 100(20), 180(36)
10455         200, 10, 10                  19(4), 99(20), 179(36)
10456         300, 10, 10                  18(4), 98(20), 178(36)
10457          50, 10, 10                  13(3), 93(19), 173(35)
10458         475, 10, 10                  17(4), 97(20), 177(36)
10459         375, 10, 10                  16(4), 96(20), 176(36)
10460         100, 10, 10                  12(3), 92(19), 172(35)
10461         250, 10, 10                  11(3), 91(19), 171(35)
10462         350, 10, 10                  15(3), 95(19), 175(35)
10463         125, 10, 10                  14(3), 94(19), 174(35)
10464         250, 10, 10                  13(3), 93(19), 173(35)
10465         100, 10, 10                  12(3), 92(19), 172(35)
10466         125, 10, 10                  11(3), 91(19), 171(35)
10467         10, 10, 325                 31(7), 111(23), 191(39)
10468         10, 10, 175                 35(7), 115(23), 195(39)
10469         10, 10, 175                 34(7), 114(23), 194(39)
10470         10, 10, 400                 33(7), 113(23), 193(39)
10471         10, 10, 100                 32(7), 112(23), 192(39)
10472          10, 10, 75                 31(7), 111(23), 191(39)
10473         10, 10, 150                 35(7), 115(23), 195(39)
10474          10, 10, 75                 27(6), 107(22), 187(38)
10475          10, 10, 25                 26(6), 106(22), 186(38)
10476         10, 10, 300                 34(7), 114(23), 194(39)
10477          10, 10, 25                 30(6), 110(22), 190(38)
10478         10, 10, 150                 29(6), 109(22), 189(38)
10479          10, 10, 25                 28(6), 108(22), 188(38)
10480         10, 10, 200                 27(6), 107(22), 187(38)
10481         10, 10, 125                 26(6), 106(22), 186(38)
10482          10, 10, 25                 30(6), 110(22), 190(38)
10483          10, 10, 75                 29(6), 109(22), 189(38)
10484         10, 10, 175                 28(6), 108(22), 188(38)
10485         10, 10, 200                 27(6), 107(22), 187(38)
10486          10, 10, 50                 26(6), 106(22), 186(38)
10487         10, 10, 300                 30(6), 110(22), 190(38)
10488         10, 10, 100                 29(6), 109(22), 189(38)
10489         10, 10, 200                 28(6), 108(22), 188(38)
10490         10, 10, 175                 27(6), 107(22), 187(38)
10491         10, 10, 175                 26(6), 106(22), 186(38)
10492         10, 10, 150                 30(6), 110(22), 190(38)
10493         10, 10, 175                 29(6), 109(22), 189(38)
10494         10, 10, 125                 28(6), 108(22), 188(38)
10495          10, 10, 75                 27(6), 107(22), 187(38)
10496         10, 10, 200                 26(6), 106(22), 186(38)
10497         10, 10, 250                 30(6), 110(22), 190(38)
10498         10, 10, 475                 29(6), 109(22), 189(38)
10499         10, 10, 250                 28(6), 108(22), 188(38)
10500          10, 10, 75                 27(6), 107(22), 187(38)
10501         10, 10, 175                 26(6), 106(22), 186(38)
10502         10, 10, 225                 21(5), 101(21), 181(37)
10503         10, 10, 150                 25(5), 105(21), 185(37)
10504         10, 10, 300                 24(5), 104(21), 184(37)
10505         10, 10, 200                 23(5), 103(21), 183(37)
10506          10, 10, 75                 22(5), 102(21), 182(37)
10507         10, 10, 325                 21(5), 101(21), 181(37)
10508          10, 10, 25                 25(5), 105(21), 185(37)
10509         10, 10, 175                 24(5), 104(21), 184(37)
10510         10, 10, 150                 23(5), 103(21), 183(37)
10511         10, 10, 150                 22(5), 102(21), 182(37)
10512         10, 10, 100                 21(5), 101(21), 181(37)
10513         10, 10, 125                 25(5), 105(21), 185(37)
10514          10, 10, 75                 24(5), 104(21), 184(37)
10515          10, 10, 50                 23(5), 103(21), 183(37)
10516          10, 10, 50                 22(5), 102(21), 182(37)
10517         10, 10, 150                 21(5), 101(21), 181(37)
10518         10, 10, 125                 25(5), 105(21), 185(37)
10519         10, 10, 150                 24(5), 104(21), 184(37)
10520          10, 10, 25                 23(5), 103(21), 183(37)
10521          10, 10, 25                 22(5), 102(21), 182(37)
10522         10, 10, 100                 21(5), 101(21), 181(37)
10523          10, 10, 75                 25(5), 105(21), 185(37)
10524         10, 10, 150                 24(5), 104(21), 184(37)
10525          10, 10, 75                 23(5), 103(21), 183(37)
10526         10, 10, 100                 22(5), 102(21), 182(37)
