hh_id,hh_name,hh_inCDA,hh_size,hh_village-id,,,
10407,29-072-A-0,1,15,129,150,,
10408,29-074-A-0,1,9,129,90,,
10409,29-078-A-0,1,12,129,120,,
10410,29-108-A-0,1,6,129,60,,
10411,29-115-A-0,1,8,129,80,,
10412,29-117-A-0,1,6,129,60,,
10413,29-118-A-0,1,9,129,90,,
10414,33-001-A-0,1,10,133,100,,
10415,33-013-A-0,1,9,133,90,,
10416,33-019-A-0,1,7,133,70,,
10417,33-022-A-0,1,8,133,80,,
10418,33-024-B-0,1,5,133,50,,
10419,33-026-A-0,1,10,133,100,,
10420,33-027-A-0,1,10,133,100,,
10421,33-029-D-0,1,5,133,50,,
10422,33-032-A-0,1,10,133,100,,
10423,33-040-A-0,1,12,133,120,,
10424,33-043-A-0,1,4,133,40,,
10425,33-046-A-0,1,12,133,120,,
10426,33-053-A-0,1,4,133,40,,
10427,33-120-B-0,1,9,133,90,,
10428,33-130-A-0,1,10,133,100,,
10429,33-132-B-0,1,7,133,70,,
10430,33-132-C-0,1,7,133,70,,
10431,33-158-A-0,1,5,133,50,,
10432,33-161-A-0,1,5,133,50,,
10433,33-162-A-0,1,12,133,120,,
10434,33-163-A-0,1,18,133,180,,
10435,33-174-A-0,1,7,133,70,,
10436,33-180-B-0,1,6,133,60,,
10437,33-187-A-0,1,1,133,10,,
10438,33-198-A-0,1,2,133,20,,
10439,33-221-A-0,1,4,133,40,,
10440,33-222-A-0,1,9,133,90,,
10441,33-230-A-0,1,6,133,60,,
10442,33-235-A-0,1,15,133,150,,
10443,35-028-A-0,1,15,135,150,,
10444,35-036-A-0,1,4,135,40,,
10445,35-042-A-0,1,4,135,40,,
10446,35-047-A-0,1,6,135,60,,
10447,38-013-A-0,1,6,138,60,,
10448,39-010-A-0,1,8,139,80,,
10449,39-013-A-0,1,9,139,90,,
10450,39-020-A-0,1,4,139,40,,
10451,39-022-B-0,1,5,139,50,,
10452,39-028-A-0,1,9,139,90,,
10453,39-029-A-0,1,12,139,120,,
10454,39-031-A-0,1,12,139,120,,
10455,39-036-B-0,1,8,139,80,,
10456,39-036-E-0,1,12,139,120,,
10457,39-041-A-0,1,2,139,20,,
10458,39-046-C-0,1,19,139,190,,
10459,39-052-A-0,1,15,139,150,,
10460,39-063-A-0,1,4,139,40,,
10461,39-070-A-0,1,10,139,100,,
10462,39-103-A-0,1,14,139,140,,
10463,39-112-A-0,1,5,139,50,,
10464,39-114-A-0,1,10,139,100,,
10465,39-119-A-0,1,4,139,40,,
10466,39-123-A-0,1,5,139,50,,
10467,40-003-A-0,1,13,140,130,,
10468,40-009-A-0,1,7,140,70,,
10469,40-023-B-0,1,7,140,70,,
10470,40-037-A-0,1,16,140,160,,
10471,40-051-A-0,1,4,140,40,,
10472,40-063-A-0,1,3,140,30,,
10473,40-070-A-0,1,6,140,60,,
10474,40-075-A-0,1,3,140,30,,
10475,40-097-A-0,1,1,140,10,,
10476,40-103-A-0,1,12,140,120,,
10477,40-107-A-0,1,1,140,10,,
10478,40-115-A-0,1,6,140,60,,
10479,40-116-A-0,1,1,140,10,,
10480,40-117-A-0,1,8,140,80,,
10481,40-134-A-0,1,5,140,50,,
10482,40-140-B-0,1,1,140,10,,
10483,40-143-A-0,1,3,140,30,,
10484,40-154-A-0,1,7,140,70,,
10485,40-155-A-0,1,8,140,80,,
10486,40-156-B-0,1,2,140,20,,
10487,40-166-A-0,1,12,140,120,,
10488,40-168-A-0,1,4,140,40,,
10489,40-174-A-0,1,8,140,80,,
10490,40-181-A-0,1,7,140,70,,
10491,40-200-A-0,1,7,140,70,,
10492,40-204-A-0,1,6,140,60,,
10493,40-209-B-0,1,7,140,70,,
10494,40-209-C-0,1,5,140,50,,
10495,40-212-A-0,1,3,140,30,,
10496,40-219-A-0,1,8,140,80,,
10497,40-223-A-0,1,10,140,100,,
10498,40-243-B-0,1,19,140,190,,
10499,40-245-A-0,1,10,140,100,,
10500,40-265-C-0,1,3,140,30,,
10501,40-271-A-0,1,7,140,70,,
10502,40-277-A-0,1,9,140,90,,
10503,40-288-B-0,1,6,140,60,,
10504,40-291-C-0,1,12,140,120,,
10505,40-298-A-0,1,8,140,80,,
10506,40-305-B-0,1,3,140,30,,
10507,40-309-A-0,1,13,140,130,,
10508,40-321-F-0,1,1,140,10,,
10509,40-325-A-0,1,7,140,70,,
10510,40-335-A-0,1,6,140,60,,
10511,40-338-A-0,1,6,140,60,,
10512,40-341-A-0,1,4,140,40,,
10513,40-343-A-0,1,5,140,50,,
10514,40-359-A-0,1,3,140,30,,
10515,40-380-A-0,1,2,140,20,,
10516,40-392-A-0,1,2,140,20,,
10517,40-395-A-0,1,6,140,60,,
10518,40-399-A-0,1,5,140,50,,
10519,40-404-A-0,1,6,140,60,,
10520,40-407-A-0,1,1,140,10,,
10521,40-409-A-0,1,1,140,10,,
10522,40-410-A-0,1,4,140,40,,
10523,40-434-A-0,1,3,140,30,,
10524,40-439-A-0,1,6,140,60,,
10525,40-441-A-0,1,3,140,30,,
10526,40-447-A-0,1,4,140,40,,
10527,42-001-A-4,1,10,142,100,,
10528,42-003-A-7,1,3,142,30,,
10529,42-004-B-4,1,1,142,10,,
10530,42-005-A-5,1,13,142,130,,
10531,42-006-B-7,1,3,142,30,,
10532,42-007-A-6,1,4,142,40,,
10533,42-008-A-6,1,17,142,170,,
10534,42-009-B-2,1,10,142,100,,
10535,42-010-A-6,1,8,142,80,,
10536,42-013-B-1,1,3,142,30,,
10537,42-015-A-6,1,14,142,140,,
10538,42-017-A-3,1,6,142,60,,
10539,42-018-A-6,1,24,142,240,,
10540,42-019-A-7,1,6,142,60,,
10541,42-023-A-2,1,2,142,20,,
10542,42-023-A-3,1,11,142,110,,
10543,42-023-E-6,1,7,142,70,,
10544,42-025-A-6,1,14,142,140,,
10545,42-026-A-2,1,8,142,80,,
10546,42-026-A-4,1,3,142,30,,
10547,42-026-A-7,1,1,142,10,,
10548,42-026-B-4,1,5,142,50,,
10549,42-028-A-3,1,9,142,90,,
10550,42-028-F-2,1,1,142,10,,
10551,42-029-A-6,1,14,142,140,,
10552,42-030-B-1,1,5,142,50,,
10553,42-034-B-2,1,5,142,50,,
10554,42-036-A-5,1,13,142,130,,
10555,42-036-A-6,1,10,142,100,,
10556,42-038-A-2,1,3,142,30,,
10557,42-038-B-5,1,19,142,190,,
10558,42-039-E-2,1,1,142,10,,
10559,42-041-A-6,1,6,142,60,,
10560,42-044-A-7,1,1,142,10,,
10561,42-044-F-1,1,6,142,60,,
10562,42-045-A-6,1,25,142,250,,
10563,42-046-A-3,1,9,142,90,,
10564,42-046-B-1,1,4,142,40,,
10565,42-048-A-5,1,12,142,120,,
10566,42-048-A-6,1,16,142,160,,
10567,42-049-A-3,1,6,142,60,,
10568,42-049-A-4,1,6,142,60,,
10569,42-051-A-7,1,5,142,50,,
10570,42-051-D-6,1,9,142,90,,
10571,42-054-C-1,1,5,142,50,,
10572,42-055-A-2,1,7,142,70,,
10573,42-055-A-3,1,5,142,50,,
10574,42-055-A-6,1,2,142,20,,
10575,42-056-C-6,1,9,142,90,,
10576,42-057-A-3,1,12,142,120,,
