hh_id               itime                                     day
10244          10, 10, 10                73(15), 145(29), 225(45)
10245          10, 10, 10                72(15), 144(29), 224(45)
10246          10, 10, 10                71(15), 143(29), 223(45)
10247          10, 10, 10                67(14), 142(29), 222(45)
10248          10, 10, 10                75(15), 141(29), 221(45)
10249          10, 10, 10                63(13), 140(28), 220(44)
10250          10, 10, 10                74(15), 139(28), 219(44)
10251          10, 10, 10                73(15), 138(28), 218(44)
10252          10, 10, 10                72(15), 137(28), 217(44)
10253          10, 10, 10                71(15), 136(28), 216(44)
10254          10, 10, 10                75(15), 135(27), 215(43)
10255          10, 10, 10                74(15), 134(27), 214(43)
10256          10, 10, 10                73(15), 133(27), 213(43)
10257          10, 10, 10                72(15), 132(27), 212(43)
10258          10, 10, 10                71(15), 131(27), 211(43)
10259          10, 10, 10                75(15), 130(26), 210(42)
10260          10, 10, 10                74(15), 129(26), 209(42)
10261          10, 10, 10                73(15), 128(26), 208(42)
10262          10, 10, 10                66(14), 127(26), 207(42)
10263          10, 10, 10                70(14), 126(26), 206(42)
10264      10, 10, 10, 10           9(2), 45(9), 125(25), 205(41)
10265      10, 10, 10, 10           2(1), 44(9), 124(25), 204(41)
10266      10, 10, 10, 10           1(1), 43(9), 123(25), 203(41)
10267      10, 10, 10, 10           5(1), 42(9), 122(25), 202(41)
10268      10, 10, 10, 10           4(1), 41(9), 121(25), 201(41)
10269      10, 10, 10, 10           3(1), 40(8), 120(24), 200(40)
10270      10, 10, 10, 10           2(1), 39(8), 119(24), 199(40)
10271      10, 10, 10, 10           1(1), 38(8), 118(24), 198(40)
10272      10, 10, 10, 10           5(1), 37(8), 117(24), 197(40)
10273      10, 10, 10, 10           4(1), 36(8), 116(24), 196(40)
10274      10, 10, 10, 10           3(1), 35(7), 115(23), 195(39)
10275      10, 10, 10, 10           2(1), 34(7), 114(23), 194(39)
10276      10, 10, 10, 10           1(1), 33(7), 113(23), 193(39)
10277      10, 10, 10, 10           5(1), 32(7), 112(23), 192(39)
10278          10, 10, 10                77(16), 111(23), 191(39)
10279          10, 10, 10                76(16), 110(22), 190(38)
10280          10, 10, 10                80(16), 109(22), 189(38)
10281          10, 10, 10                79(16), 108(22), 188(38)
10282          10, 10, 10                78(16), 107(22), 187(38)
10283          10, 10, 10                77(16), 106(22), 186(38)
10284          10, 10, 10                76(16), 105(21), 185(37)
10285          10, 10, 10                80(16), 104(21), 184(37)
10286          10, 10, 10                79(16), 103(21), 183(37)
10287          10, 10, 10                78(16), 102(21), 182(37)
10288          10, 10, 10                77(16), 101(21), 181(37)
10289          10, 10, 10                76(16), 100(20), 180(36)
10290          10, 10, 10                 80(16), 99(20), 179(36)
10291         375, 10, 10                  45(9), 98(20), 178(36)
10292         400, 10, 10                  44(9), 97(20), 177(36)
10293         550, 10, 10                  43(9), 96(20), 176(36)
10294         175, 10, 10                  42(9), 95(19), 175(35)
10295         775, 10, 10                  41(9), 94(19), 174(35)
10296         225, 10, 10                  39(8), 93(19), 173(35)
10297         125, 10, 10                  38(8), 92(19), 172(35)
10298         175, 10, 10                  37(8), 91(19), 171(35)
10299         175, 10, 10                  36(8), 90(18), 170(34)
10300         250, 10, 10                  40(8), 89(18), 169(34)
10301         250, 10, 10                  39(8), 88(18), 168(34)
10302         175, 10, 10                  38(8), 87(18), 167(34)
10303         275, 10, 10                  37(8), 86(18), 166(34)
10304         250, 10, 10                  36(8), 85(17), 165(33)
10305         400, 10, 10                  40(8), 84(17), 164(33)
10306         375, 10, 10                  39(8), 83(17), 163(33)
10307         325, 10, 10                  38(8), 82(17), 162(33)
10308         175, 10, 10                  35(7), 81(17), 161(33)
10309     675, 10, 10, 10         37(8), 80(16), 160(32), 240(48)
10310     275, 10, 10, 10         36(8), 79(16), 159(32), 239(48)
10311     375, 10, 10, 10         34(7), 78(16), 158(32), 238(48)
10312     250, 10, 10, 10         33(7), 77(16), 157(32), 237(48)
10313     450, 10, 10, 10         32(7), 76(16), 156(32), 236(48)
10314     350, 10, 10, 10         31(7), 75(15), 155(31), 235(47)
10315     225, 10, 10, 10         35(7), 74(15), 154(31), 234(47)
10316     375, 10, 10, 10         34(7), 73(15), 153(31), 233(47)
10317     125, 10, 10, 10         33(7), 72(15), 152(31), 232(47)
10318     100, 10, 10, 10         32(7), 71(15), 151(31), 231(47)
10319     225, 10, 10, 10         31(7), 70(14), 150(30), 230(46)
10320     200, 10, 10, 10         35(7), 69(14), 149(30), 229(46)
10321     200, 10, 10, 10         34(7), 68(14), 148(30), 228(46)
10322     475, 10, 10, 10         33(7), 67(14), 147(30), 227(46)
10323     225, 10, 10, 10         32(7), 66(14), 146(30), 226(46)
10324     275, 10, 10, 10         31(7), 65(13), 145(29), 225(45)
10325     225, 10, 10, 10         29(6), 64(13), 144(29), 224(45)
10326          10, 10, 10                67(14), 143(29), 223(45)
10327          10, 10, 10                66(14), 142(29), 222(45)
10328          10, 10, 10                70(14), 141(29), 221(45)
10329          10, 10, 10                69(14), 140(28), 220(44)
10330          10, 10, 10                68(14), 139(28), 219(44)
10331          10, 10, 10                67(14), 138(28), 218(44)
10332          10, 10, 10                66(14), 137(28), 217(44)
10333          10, 10, 10                70(14), 136(28), 216(44)
10334          10, 10, 10                69(14), 135(27), 215(43)
10335          10, 10, 10                68(14), 134(27), 214(43)
10336          10, 10, 10                67(14), 133(27), 213(43)
10337          10, 10, 10                66(14), 132(27), 212(43)
10338          10, 10, 10                61(13), 131(27), 211(43)
10339          10, 10, 10                65(13), 130(26), 210(42)
10340          10, 10, 10                64(13), 129(26), 209(42)
10341          10, 10, 10                63(13), 128(26), 208(42)
10342          10, 10, 10                62(13), 127(26), 207(42)
10343     150, 10, 10, 10         15(3), 46(10), 126(26), 206(42)
10344      75, 10, 10, 10          14(3), 45(9), 125(25), 205(41)
10345     225, 10, 10, 10          13(3), 44(9), 124(25), 204(41)
10346          10, 10, 10                75(15), 123(25), 203(41)
10347          10, 10, 10                74(15), 122(25), 202(41)
10348          10, 10, 10                73(15), 121(25), 201(41)
10349          10, 10, 10                72(15), 120(24), 200(40)
10350          10, 10, 10                71(15), 119(24), 199(40)
10351          10, 10, 10                75(15), 118(24), 198(40)
10352          10, 10, 10                74(15), 117(24), 197(40)
10353          10, 10, 10                73(15), 116(24), 196(40)
10354          10, 10, 10                63(13), 115(23), 195(39)
10355          10, 10, 10                72(15), 114(23), 194(39)
10356          10, 10, 10                62(13), 113(23), 193(39)
10357          10, 10, 10                71(15), 112(23), 192(39)
10358          10, 10, 10                70(14), 111(23), 191(39)
10359          10, 10, 10                69(14), 110(22), 190(38)
10360          10, 10, 10                68(14), 109(22), 189(38)
10361          10, 10, 10                67(14), 108(22), 188(38)
10362          10, 10, 10                57(12), 107(22), 187(38)
10363          10, 10, 10                66(14), 106(22), 186(38)
10364          10, 10, 10                70(14), 105(21), 185(37)
10365          10, 10, 10                69(14), 104(21), 184(37)
10366          10, 10, 10                68(14), 103(21), 183(37)
10367          10, 10, 10                55(11), 102(21), 182(37)
10368          10, 10, 10                54(11), 101(21), 181(37)
10369          10, 10, 10                53(11), 100(20), 180(36)
10370          10, 10, 10                 52(11), 99(20), 179(36)
10371          10, 10, 10                 51(11), 98(20), 178(36)
10372          10, 10, 10                 55(11), 97(20), 177(36)
10373         150, 10, 10                  27(6), 96(20), 176(36)
10374         150, 10, 10                  22(5), 95(19), 175(35)
10375         275, 10, 10                  26(6), 94(19), 174(35)
10376         425, 10, 10                  21(5), 93(19), 173(35)
10377         225, 10, 10                  25(5), 92(19), 172(35)
10378         275, 10, 10                  24(5), 91(19), 171(35)
10379         150, 10, 10                  23(5), 90(18), 170(34)
