hh_id,hh_name,hh_inCDA,hh_size,hh_village-id,,,,,,,,,
10282,20-128-A-0,1,11,120,275,10,10,295,,,,,
10283,20-171-A-0,1,7,120,175,10,10,195,,,,,
10284,20-190-A-0,1,10,120,250,10,10,270,,,,,
10285,20-199-B-0,1,3,120,75,10,10,95,,,,,
10286,20-217-A-0,1,10,120,250,10,10,270,,,,,
10287,20-229-E-0,1,7,120,175,10,10,195,,,,,
10288,20-230-A-0,1,6,120,150,10,10,170,,,,,
10289,20-253-A-0,1,13,120,325,10,10,345,,,,,
10290,20-265-A-0,1,7,120,175,10,10,195,,,,,
10291,21-011-A-0,1,15,121,375,10,10,395,,,,,
10292,21-016-A-0,1,16,121,400,10,10,420,,,,,
10293,21-019-A-0,1,22,121,550,10,10,570,,,,,
10294,21-026-A-0,1,7,121,175,10,10,195,,,,,
10295,21-027-A-0,1,31,121,775,10,10,795,,,,,
10296,21-034-A-0,1,9,121,225,10,10,245,,,,,
10297,21-045-A-0,1,5,121,125,10,10,145,,,,,
10298,21-047-C-0,1,7,121,175,10,10,195,,,,,
10299,21-062-A-0,1,7,121,175,10,10,195,,,,,
10300,21-072-B-0,1,10,121,250,10,10,270,,,,,
10301,21-076-D-0,1,10,121,250,10,10,270,,,,,
10302,21-080-A-0,1,7,121,175,10,10,195,,,,,
10303,21-082-A-0,1,11,121,275,10,10,295,,,,,
10304,21-085-A-0,1,10,121,250,10,10,270,,,,,
10305,21-101-B-0,1,16,121,400,10,10,420,,,,,
10306,21-104-A-0,1,15,121,375,10,10,395,,,,,
10307,21-118-A-0,1,13,121,325,10,10,345,,,,,
10308,21-122-B-0,1,7,121,175,10,10,195,,,,,
10309,21-136-A-0,1,27,121,675,10,10,695,,,,,
10310,21-140-A-0,1,11,121,275,10,10,295,,,,,
10311,21-141-B-0,1,15,121,375,10,10,395,,,,,
10312,21-145-B-0,1,10,121,250,10,10,270,,,,,
10313,21-146-A-0,1,18,121,450,10,10,470,,,,,
10314,21-162-B-0,1,14,121,350,10,10,370,,,,,
10315,21-194-A-0,1,9,121,225,10,10,245,,,,,
10316,21-195-A-0,1,15,121,375,10,10,395,,,,,
10317,21-208-B-0,1,5,121,125,10,10,145,,,,,
10318,21-215-A-0,1,4,121,100,10,10,120,,,,,
10319,21-218-A-0,1,9,121,225,10,10,245,,,,,
10320,21-224-A-0,1,8,121,200,10,10,220,,,,,
10321,21-230-A-0,1,8,121,200,10,10,220,,,,,
10322,21-231-A-0,1,19,121,475,10,10,495,,,,,
10323,21-242-A-0,1,9,121,225,10,10,245,,,,,
10324,21-247-A-0,1,11,121,275,10,10,295,,,,,
10325,21-261-A-0,1,9,121,225,10,10,245,,,,,
10326,22-001-A-0,1,13,122,325,10,10,345,,,,,
10327,22-006-A-0,1,5,122,125,10,10,145,,,,,
10328,22-015-A-0,1,6,122,150,10,10,170,,,,,
10329,22-019-A-0,1,28,122,700,10,10,720,,,,,
10330,22-023-B-0,1,7,122,175,10,10,195,,,,,
10331,22-041-A-0,1,4,122,100,10,10,120,,,,,
10332,22-041-B-0,1,7,122,175,10,10,195,,,,,
10333,22-049-A-0,1,12,122,300,10,10,320,,,,,
10334,22-062-A-0,1,7,122,175,10,10,195,,,,,
10335,22-064-A-0,1,5,122,125,10,10,145,,,,,
10336,22-075-A-0,1,21,122,525,10,10,545,,,,,
10337,22-081-A-0,1,7,122,175,10,10,195,,,,,
10338,22-082-A-0,1,10,122,250,10,10,270,,,,,
10339,22-089-A-0,1,12,122,300,10,10,320,,,,,
10340,22-091-A-0,1,34,122,850,10,10,870,,,,,
10341,22-101-A-0,1,6,122,150,10,10,170,,,,,
10342,22-110-A-0,1,6,122,150,10,10,170,,,,,
10343,23-026-A-0,1,6,123,150,10,10,170,,,,,
10344,23-027-A-0,1,3,123,75,10,10,95,,,,,
10345,23-063-A-0,1,9,123,225,10,10,245,,,,,
10346,24-015-A-0,1,4,124,100,10,10,120,,,,,
10347,24-049-A-0,1,10,124,250,10,10,270,,,,,
10348,24-053-A-0,1,3,124,75,10,10,95,,,,,
10349,24-062-A-0,1,7,124,175,10,10,195,,,,,
10350,24-065-A-0,1,18,124,450,10,10,470,,,,,
10351,24-066-A-0,1,10,124,250,10,10,270,,,,,
10352,24-078-A-0,1,19,124,475,10,10,495,,,,,
10353,24-085-A-0,1,9,124,225,10,10,245,,,,,
10354,24-088-A-0,1,1,124,25,10,10,45,,,,,
10355,24-092-A-0,1,9,124,225,10,10,245,,,,,
10356,24-100-A-0,1,1,124,25,10,10,45,,,,,
10357,24-128-A-0,1,15,124,375,10,10,395,,,,,
10358,24-167-A-0,1,5,124,125,10,10,145,,,,,
10359,24-174-A-0,1,6,124,150,10,10,170,,,,,
10360,24-180-A-0,1,3,124,75,10,10,95,,,,,
10361,24-182-A-0,1,4,124,100,10,10,120,,,,,
10362,24-183-A-0,1,1,124,25,10,10,45,,,,,
10363,24-186-A-0,1,5,124,125,10,10,145,,,,,
10364,24-201-A-0,1,3,124,75,10,10,95,,,,,
10365,24-208-A-0,1,7,124,175,10,10,195,,,,,
10366,24-212-A-0,1,7,124,175,10,10,195,,,,,
10367,25-003-B-0,1,6,125,150,10,10,170,,,,,
10368,25-004-A-0,1,25,125,625,10,10,645,,,,,
10369,25-005-A-0,1,8,125,200,10,10,220,,,,,
10370,25-020-A-0,1,10,125,250,10,10,270,,,,,
10371,25-110-B-0,1,9,125,225,10,10,245,,,,,
10372,25-122-A-0,1,3,125,75,10,10,95,,,,,
10373,27-006-B-0,1,6,127,150,10,10,170,,,,,
10374,27-009-A-0,1,6,127,150,10,10,170,,,,,
10375,27-011-A-0,1,11,127,275,10,10,295,,,,,
10376,27-012-B-0,1,17,127,425,10,10,445,,,,,
10377,27-016-A-0,1,9,127,225,10,10,245,,,,,
10378,27-023-A-0,1,11,127,275,10,10,295,,,,,
10379,27-026-A-0,1,6,127,150,10,10,170,,,,,
10380,27-030-A-0,1,10,127,250,10,10,270,,,,,
10381,27-032-F-0,1,7,127,175,10,10,195,,,,,
10382,27-035-D-0,1,3,127,75,10,10,95,,,,,
10383,27-041-A-0,1,10,127,250,10,10,270,,,,,
10384,27-050-A-0,1,15,127,375,10,10,395,,,,,
10385,27-052-A-0,1,21,127,525,10,10,545,,,,,
10386,27-059-B-0,1,6,127,150,10,10,170,,,,,
10387,27-064-A-0,1,34,127,850,10,10,870,,,,,
10388,27-087-B-0,1,13,127,325,10,10,345,,,,,
10389,27-096-A-0,1,4,127,100,10,10,120,,,,,
10390,27-105-A-0,1,8,127,200,10,10,220,,,,,
10391,27-107-A-0,1,5,127,125,10,10,145,,,,,
10392,27-110-A-0,1,7,127,175,10,10,195,,,,,
10393,27-118-A-0,1,8,127,200,10,10,220,,,,,
10394,27-127-A-0,1,7,127,175,10,10,195,,,,,
10395,27-128-A-0,1,6,127,150,10,10,170,,,,,
10396,29-017-B-0,1,7,129,175,10,10,195,,,,,
10397,29-021-A-0,1,3,129,75,10,10,95,,,,,
10398,29-029-B-0,1,5,129,125,10,10,145,,,,,
10399,29-030-B-0,1,7,129,175,10,10,195,,,,,
10400,29-037-A-0,1,9,129,225,10,10,245,,,,,
10401,29-048-A-0,1,1,129,25,10,10,45,,,,,
10402,29-052-A-0,1,14,129,350,10,10,370,,,,,
10403,29-057-A-0,1,8,129,200,10,10,220,,,,,
10404,29-063-A-0,1,3,129,75,10,10,95,,,,,
10405,29-067-A-0,1,12,129,300,10,10,320,,,,,
10406,29-071-A-0,1,6,129,150,10,10,170,,,,,
10407,29-072-A-0,1,15,129,375,10,10,395,,,,,
10408,29-074-A-0,1,9,129,225,10,10,245,,,,,
10409,29-078-A-0,1,12,129,300,10,10,320,,,,,
10410,29-108-A-0,1,6,129,150,10,10,170,,,,,
10411,29-115-A-0,1,8,129,200,10,10,220,,,,,
10412,29-117-A-0,1,6,129,150,10,10,170,,,,,
10413,29-118-A-0,1,9,129,225,10,10,245,,,,,
10414,33-001-A-0,1,10,133,250,10,10,270,,,,,
10415,33-013-A-0,1,9,133,225,10,10,245,,,,,
10416,33-019-A-0,1,7,133,175,10,10,195,,,,,
10417,33-022-A-0,1,8,133,200,10,10,220,,,,,
10418,33-024-B-0,1,5,133,125,10,10,145,,,,,
10419,33-026-A-0,1,10,133,250,10,10,270,,,,,
10420,33-027-A-0,1,10,133,250,10,10,270,,,,,
10421,33-029-D-0,1,5,133,125,10,10,145,,,,,
10422,33-032-A-0,1,10,133,250,10,10,270,,,,,
10423,33-040-A-0,1,12,133,300,10,10,320,,,,,
10424,33-043-A-0,1,4,133,100,10,10,120,,,,,
10425,33-046-A-0,1,12,133,300,10,10,320,,,,,
10426,33-053-A-0,1,4,133,100,10,10,120,,,,,
10427,33-120-B-0,1,9,133,225,10,10,245,,,,,
10428,33-130-A-0,1,10,133,250,10,10,270,,,,,
10429,33-132-B-0,1,7,133,175,10,10,195,,,,,
10430,33-132-C-0,1,7,133,175,10,10,195,,,,,
10431,33-158-A-0,1,5,133,125,10,10,145,,,,,
10432,33-161-A-0,1,5,133,125,10,10,145,,,,,
10433,33-162-A-0,1,12,133,300,10,10,320,,,,,
10434,33-163-A-0,1,18,133,450,10,10,470,,,,,
10435,33-174-A-0,1,7,133,175,10,10,195,,,,,
10436,33-180-B-0,1,6,133,150,10,10,170,,,,,
10437,33-187-A-0,1,1,133,25,10,10,45,,,,,
10438,33-198-A-0,1,2,133,50,10,10,70,,,,,
10439,33-221-A-0,1,4,133,100,10,10,120,,,,,
10440,33-222-A-0,1,9,133,225,10,10,245,,,,,
10441,33-230-A-0,1,6,133,150,10,10,170,,,,,
10442,33-235-A-0,1,15,133,375,10,10,395,,,,,
10443,35-028-A-0,1,15,135,375,10,10,395,,,,,
10444,35-036-A-0,1,4,135,100,10,10,120,,,,,
10445,35-042-A-0,1,4,135,100,10,10,120,,,,,
10446,35-047-A-0,1,6,135,150,10,10,170,,,,,
10447,38-013-A-0,1,6,138,150,10,10,170,,,,,
10448,39-010-A-0,1,8,139,200,10,10,220,,,,,
10449,39-013-A-0,1,9,139,225,10,10,245,,,,,
10450,39-020-A-0,1,4,139,100,10,10,120,,,,,
10451,39-022-B-0,1,5,139,125,10,10,145,,,,,
10452,39-028-A-0,1,9,139,225,10,10,245,,,,,
10453,39-029-A-0,1,12,139,300,10,10,320,,,,,
10454,39-031-A-0,1,12,139,300,10,10,320,,,,,
10455,39-036-B-0,1,8,139,200,10,10,220,,,,,
10456,39-036-E-0,1,12,139,300,10,10,320,,,,,
10457,39-041-A-0,1,2,139,50,10,10,70,,,,,
10458,39-046-C-0,1,19,139,475,10,10,495,,,,,
10459,39-052-A-0,1,15,139,375,10,10,395,,,,,
10460,39-063-A-0,1,4,139,100,10,10,120,,,,,
10461,39-070-A-0,1,10,139,250,10,10,270,,,,,
