hh_id      hh_name    hh_inCDA   hh_size    hh_village-id
10302      21-080-A-0 1          7          121        
10303      21-082-A-0 1          11         121        
10304      21-085-A-0 1          10         121        
10305      21-101-B-0 1          16         121        
10306      21-104-A-0 1          15         121        
10307      21-118-A-0 1          13         121        
10308      21-122-B-0 1          7          121        
10309      21-136-A-0 1          27         121        
10310      21-140-A-0 1          11         121        
10311      21-141-B-0 1          15         121        
10312      21-145-B-0 1          10         121        
10313      21-146-A-0 1          18         121        
10314      21-162-B-0 1          14         121        
10315      21-194-A-0 1          9          121        
10316      21-195-A-0 1          15         121        
10317      21-208-B-0 1          5          121        
10318      21-215-A-0 1          4          121        
10319      21-218-A-0 1          9          121        
10320      21-224-A-0 1          8          121        
10321      21-230-A-0 1          8          121        
10322      21-231-A-0 1          19         121        
10323      21-242-A-0 1          9          121        
10324      21-247-A-0 1          11         121        
10325      21-261-A-0 1          9          121        
10326      22-001-A-0 1          13         122        
10327      22-006-A-0 1          5          122        
10328      22-015-A-0 1          6          122        
10329      22-019-A-0 1          28         122        
10330      22-023-B-0 1          7          122        
10331      22-041-A-0 1          4          122        
10332      22-041-B-0 1          7          122        
10333      22-049-A-0 1          12         122        
10334      22-062-A-0 1          7          122        
10335      22-064-A-0 1          5          122        
10336      22-075-A-0 1          21         122        
10337      22-081-A-0 1          7          122        
10338      22-082-A-0 1          10         122        
10339      22-089-A-0 1          12         122        
10340      22-091-A-0 1          34         122        
10341      22-101-A-0 1          6          122        
10342      22-110-A-0 1          6          122        
10343      23-026-A-0 1          6          123        
10344      23-027-A-0 1          3          123        
10345      23-063-A-0 1          9          123        
10346      24-015-A-0 1          4          124        
10347      24-049-A-0 1          10         124        
10348      24-053-A-0 1          3          124        
10349      24-062-A-0 1          7          124        
10350      24-065-A-0 1          18         124        
10351      24-066-A-0 1          10         124        
10352      24-078-A-0 1          19         124        
10353      24-085-A-0 1          9          124        
10354      24-088-A-0 1          1          124        
10355      24-092-A-0 1          9          124        
10356      24-100-A-0 1          1          124        
10357      24-128-A-0 1          15         124        
10358      24-167-A-0 1          5          124        
10359      24-174-A-0 1          6          124        
10360      24-180-A-0 1          3          124        
10361      24-182-A-0 1          4          124        
10362      24-183-A-0 1          1          124        
10363      24-186-A-0 1          5          124        
10364      24-201-A-0 1          3          124        
10365      24-208-A-0 1          7          124        
10366      24-212-A-0 1          7          124        
10367      25-003-B-0 1          6          125        
10368      25-004-A-0 1          25         125        
10369      25-005-A-0 1          8          125        
10370      25-020-A-0 1          10         125        
10371      25-110-B-0 1          9          125        
10372      25-122-A-0 1          3          125        
10373      27-006-B-0 1          6          127        
10374      27-009-A-0 1          6          127        
10375      27-011-A-0 1          11         127        
10376      27-012-B-0 1          17         127        
10377      27-016-A-0 1          9          127        
10378      27-023-A-0 1          11         127        
10379      27-026-A-0 1          6          127        
10380      27-030-A-0 1          10         127        
10381      27-032-F-0 1          7          127        
10382      27-035-D-0 1          3          127        
10383      27-041-A-0 1          10         127        
10384      27-050-A-0 1          15         127        
10385      27-052-A-0 1          21         127        
10386      27-059-B-0 1          6          127        
10387      27-064-A-0 1          34         127        
10388      27-087-B-0 1          13         127        
10389      27-096-A-0 1          4          127        
10390      27-105-A-0 1          8          127        
10391      27-107-A-0 1          5          127        
10392      27-110-A-0 1          7          127        
10393      27-118-A-0 1          8          127        
10394      27-127-A-0 1          7          127        
10395      27-128-A-0 1          6          127        
10396      29-017-B-0 1          7          129        
10397      29-021-A-0 1          3          129        
10398      29-029-B-0 1          5          129        
10399      29-030-B-0 1          7          129        
10400      29-037-A-0 1          9          129        
10401      29-048-A-0 1          1          129        
10402      29-052-A-0 1          14         129        
10403      29-057-A-0 1          8          129        
10404      29-063-A-0 1          3          129        
10405      29-067-A-0 1          12         129        
10406      29-071-A-0 1          6          129        
10407      29-072-A-0 1          15         129        
10408      29-074-A-0 1          9          129        
10409      29-078-A-0 1          12         129        
10410      29-108-A-0 1          6          129        
10411      29-115-A-0 1          8          129        
10412      29-117-A-0 1          6          129        
10413      29-118-A-0 1          9          129        
10414      33-001-A-0 1          10         133        
10415      33-013-A-0 1          9          133        
10416      33-019-A-0 1          7          133        
10417      33-022-A-0 1          8          133        
